Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
66,-70.98044586,-59.93734741,-70.64686584,-51.60522461,-97.76938629,-40.41271591,-114.0497894,-39.48200989
66.5,-70.98531342,-59.94257355,-70.63492584,-51.62512589,-97.79395294,-40.40229797,-114.0918884,-39.4906044
67,-70.98565674,-59.94039917,-70.60573578,-51.61185837,-97.81702423,-40.41197205,-114.1339874,-39.49275589
67.5,-70.98249054,-59.93321228,-70.59909821,-51.59460831,-97.85051727,-40.41048431,-114.1787415,-39.48888779
68,-70.97981262,-59.9403801,-70.59511566,-51.59991837,-97.87731934,-40.42015839,-114.2148285,-39.48759842
68.5,-70.97787476,-59.94673157,-70.58317566,-51.57603455,-97.89592743,-40.42313766,-114.2561111,-39.48974609
69,-70.98049164,-59.95238876,-70.57389069,-51.57337952,-97.93314362,-40.42313766,-114.2943726,-39.48501968
69.5,-70.97470093,-59.95315552,-70.56725311,-51.56940079,-97.9562149,-40.42611313,-114.3317184,-39.48458862
70,-70.96585083,-59.94201279,-70.54868317,-51.55347824,-97.98449707,-40.42909241,-114.3704224,-39.4867363
70.5,-70.96401215,-59.94784164,-70.53939056,-51.55878448,-98.00980377,-40.43802261,-114.4129791,-39.48630905
71,-70.96966553,-59.94855881,-70.54204559,-51.56276703,-98.0142746,-40.42536926,-114.4477921,-39.49576187
71.5,-70.96617889,-59.95346069,-70.52745056,-51.57603455,-98.0351181,-40.42909241,-114.4766235,-39.50564957
72,-70.96886444,-59.95579147,-70.51285553,-51.5826683,-98.04925537,-40.44472122,-114.4899216,-39.50865936
72.5,-70.96894836,-59.961689,-70.49427795,-51.57868576,-98.07307434,-40.4454689,-114.5303192,-39.50350189
73,-70.97138214,-59.95825577,-70.47702789,-51.58399582,-98.08424377,-40.45067596,-114.5423737,-39.50737
73.5,-70.96788025,-59.95769882,-70.46641541,-51.58532333,-98.11177826,-40.45439911,-114.5681458,-39.51424789
74,-70.97117615,-59.96101379,-70.45977783,-51.59062958,-98.13187408,-40.46556473,-114.5995102,-39.50693893
74.5,-70.9712677,-59.96076584,-70.43988037,-51.57470703,-98.14080811,-40.45514297,-114.6416473,-39.50865936
75,-70.97314453,-59.96061707,-70.42263031,-51.59195709,-98.16090393,-40.47151947,-114.6777649,-39.50994873
75.5,-70.96970367,-59.96419525,-70.40803528,-51.59328461,-98.17207336,-40.46854019,-114.6966553,-39.5082283
76,-70.9669342,-59.96411133,-70.39741516,-51.58797455,-98.18695831,-40.48714828,-114.7302094,-39.50178146
76.5,-70.96746826,-59.95872116,-70.39741516,-51.59062958,-98.19216919,-40.4916153,-114.7516937,-39.50650787
77,-70.96657562,-59.96099472,-70.37220764,-51.59859085,-98.21375275,-40.48714828,-114.773201,-39.50479126
77.5,-70.96681976,-59.96672821,-70.35495758,-51.59593582,-98.23162079,-40.49310303,-114.7933807,-39.51209641
78,-70.96152496,-59.96388626,-70.34434509,-51.59460831,-98.24427032,-40.49235916,-114.8260498,-39.51166534
78.5,-70.95965576,-59.96471786,-70.34832764,-51.58797455,-98.23905945,-40.49905777,-114.8402252,-39.51983261
79,-70.95622253,-59.95888519,-70.32311249,-51.58399582,-98.25617981,-40.49608231,-114.8544083,-39.51682663
79.5,-70.95233154,-59.97128296,-70.31781006,-51.57337952,-98.25692749,-40.49310303,-114.8771896,-39.51725388
80,-70.94804382,-59.96469116,-70.29259491,-51.58532333,-98.26436615,-40.49385071,-114.9012604,-39.51940536
80.5,-70.94701385,-59.97339249,-70.28596497,-51.58664703,-98.27627563,-40.50352478,-114.906868,-39.50951767
81,-70.94268799,-59.96046829,-70.26738739,-51.58797455,-98.27776337,-40.50278091,-114.940361,-39.5013504
81.5,-70.94246674,-59.96375656,-70.25411987,-51.58930206,-98.29488373,-40.50724792,-114.9644318,-39.50521851
82,-70.93522644,-59.96543884,-70.25146484,-51.58930206,-98.29786682,-40.51320267,-114.9897995,-39.50263977
82.5,-70.93553925,-59.97219086,-70.25279236,-51.58930206,-98.31275177,-40.53404236,-115.0104523,-39.50650787
83,-70.93547058,-59.9728241,-70.23686981,-51.59726334,-98.31497955,-40.53404236,-115.0203247,-39.50994873
83.5,-70.93544006,-59.96860886,-70.23421478,-51.61185837,-98.30828094,-40.53627396,-115.0353775,-39.51596451
84,-70.92946625,-59.97348785,-70.20767975,-51.59460831,-98.32168579,-40.53106689,-115.053009,-39.51338577
84.5,-70.93386841,-59.97010422,-70.19838715,-51.58664703,-98.3187027,-40.54743958,-115.0749359,-39.5189743
85,-70.92510986,-59.97404861,-70.18910217,-51.57603455,-98.32242584,-40.54595184,-115.0843658,-39.51854324
