Time,KO + Cre,KO + Cre NMDA,KO,KO NMDA
161.5,-55.69458008,-56.12182617,-50.81176758,-50.01831055
162,-55.69458008,-56.12182617,-50.87280273,-50.04882813
162.5,-55.57250977,-56.03027344,-50.81176758,-50.01831055
163,-55.63354492,-55.9387207,-50.81176758,-50.04882813
163.5,-55.6640625,-55.9387207,-50.81176758,-49.95727539
164,-55.57250977,-55.96923828,-50.75073242,-49.86572266
164.5,-55.57250977,-55.84716797,-50.72021484,-49.95727539
165,-55.57250977,-55.78613281,-50.72021484,-49.86572266
165.5,-55.54199219,-55.72509766,-50.68969727,-49.86572266
166,-55.54199219,-55.75561523,-50.72021484,-49.89624023
166.5,-55.54199219,-55.6640625,-50.62866211,-49.83520508
167,-55.51147461,-55.63354492,-50.72021484,-49.86572266
167.5,-55.51147461,-55.63354492,-50.68969727,-49.86572266
168,-55.48095703,-55.54199219,-50.59814453,-49.95727539
168.5,-55.45043945,-55.51147461,-50.72021484,-49.92675781
169,-55.45043945,-55.48095703,-50.65917969,-49.86572266
169.5,-55.3894043,-55.45043945,-50.65917969,-49.86572266
170,-55.35888672,-55.32836914,-50.62866211,-49.92675781
170.5,-55.3894043,-55.32836914,-50.59814453,-49.92675781
171,-55.29785156,-55.29785156,-50.56762695,-49.95727539
171.5,-55.32836914,-55.20629883,-50.5065918,-49.98779297
172,-55.29785156,-55.17578125,-50.53710938,-49.92675781
172.5,-55.26733398,-55.08422852,-50.5065918,-49.92675781
173,-55.20629883,-55.05371094,-50.53710938,-49.98779297
173.5,-55.14526367,-55.02319336,-50.5065918,-49.98779297
174,-55.20629883,-54.90112305,-50.47607422,-50.01831055
174.5,-55.14526367,-54.87060547,-50.44555664,-49.95727539
175,-55.11474609,-54.80957031,-50.47607422,-49.92675781
175.5,-55.05371094,-54.71801758,-50.53710938,-49.98779297
176,-55.02319336,-54.77905273,-50.5065918,-49.98779297
176.5,-55.05371094,-54.6875,-50.47607422,-49.98779297
177,-54.9621582,-54.6875,-50.47607422,-50.04882813
177.5,-55.02319336,-54.62646484,-50.47607422,-49.86572266
178,-54.93164063,-54.59594727,-50.44555664,-49.95727539
178.5,-54.84008789,-54.50439453,-50.38452148,-49.98779297
179,-54.87060547,-54.47387695,-50.35400391,-49.98779297
179.5,-54.84008789,-54.38232422,-50.29296875,-49.98779297
180,-54.93164063,-54.29077148,-50.35400391,-50.04882813
180.5,-54.80957031,-54.26025391,-50.35400391,-50.01831055
181,-54.80957031,-54.26025391,-50.29296875,-49.95727539
181.5,-54.77905273,-54.16870117,-50.29296875,-49.98779297
182,-54.71801758,-54.07714844,-50.35400391,-50.01831055
182.5,-54.6875,-54.01611328,-50.35400391,-50.04882813
183,-54.71801758,-53.9855957,-50.35400391,-50.01831055
183.5,-54.6875,-53.92456055,-50.41503906,-49.95727539
184,-54.6875,-53.92456055,-50.38452148,-49.98779297
184.5,-54.65698242,-53.86352539,-50.41503906,-49.98779297
185,-54.62646484,-53.77197266,-50.41503906,-50.04882813
185.5,-54.62646484,-53.64990234,-50.32348633,-50.04882813
186,-54.62646484,-53.64990234,-50.26245117,-50.01831055
186.5,-54.50439453,-53.61938477,-50.35400391,-49.95727539
187,-54.50439453,-53.46679688,-50.29296875,-49.95727539
187.5,-54.47387695,-53.4362793,-50.26245117,-50.04882813
188,-54.44335938,-53.34472656,-50.20141602,-50.01831055
188.5,-54.4128418,-53.37524414,-50.20141602,-50.01831055
189,-54.35180664,-53.37524414,-50.20141602,-50.0793457
189.5,-54.32128906,-53.22265625,-50.20141602,-50.10986328
190,-54.29077148,-53.19213867,-50.20141602,-50.14038086
190.5,-54.26025391,-53.13110352,-50.17089844,-50.10986328
191,-54.29077148,-53.07006836,-50.17089844,-50.04882813
191.5,-54.16870117,-53.0090332,-50.23193359,-50.0793457
192,-54.16870117,-52.94799805,-50.20141602,-50.01831055
192.5,-54.10766602,-52.88696289,-50.14038086,-50.10986328
193,-54.10766602,-52.85644531,-50.0793457,-50.0793457
193.5,-54.07714844,-52.734375,-50.10986328,-50.10986328
194,-53.95507813,-52.64282227,-50.04882813,-50.14038086
194.5,-54.01611328,-52.61230469,-49.98779297,-50.0793457
195,-53.89404297,-52.52075195,-49.95727539,-50.14038086
195.5,-53.86352539,-52.39868164,-49.89624023,-50.17089844
196,-53.83300781,-52.36816406,-49.8046875,-50.14038086
196.5,-53.80249023,-52.33764648,-49.83520508,-50.10986328
197,-53.77197266,-52.21557617,-49.8046875,-50.17089844
197.5,-53.68041992,-52.18505859,-49.77416992,-50.17089844
198,-53.68041992,-52.06298828,-49.8046875,-50.14038086
198.5,-53.61938477,-52.00195313,-49.71313477,-50.0793457
199,-53.61938477,-52.0324707,-49.74365234,-50.10986328
199.5,-53.58886719,-51.91040039,-49.65209961,-50.10986328
200,-53.58886719,-51.87988281,-49.68261719,-49.98779297
200.5,-53.55834961,-51.78833008,-49.74365234,-49.98779297
201,-53.49731445,-51.69677734,-49.74365234,-49.95727539
201.5,-53.46679688,-51.66625977,-49.74365234,-49.89624023
202,-53.4362793,-51.51367188,-49.71313477,-49.86572266
202.5,-53.31420898,-51.42211914,-49.62158203,-49.86572266
203,-53.31420898,-51.39160156,-49.68261719,-49.83520508
203.5,-53.19213867,-51.20849609,-49.62158203,-49.8046875
204,-53.19213867,-51.17797852,-49.59106445,-49.8046875
204.5,-53.19213867,-51.08642578,-49.59106445,-49.8046875
205,-53.03955078,-50.96435547,-49.49951172,-49.71313477
205.5,-53.10058594,-50.96435547,-49.59106445,-49.71313477
206,-53.10058594,-50.84228516,-49.56054688,-49.74365234
206.5,-52.97851563,-50.75073242,-49.56054688,-49.77416992
207,-52.94799805,-50.59814453,-49.59106445,-49.8046875
207.5,-52.91748047,-50.56762695,-49.5300293,-49.74365234
208,-52.88696289,-50.5065918,-49.49951172,-49.77416992
208.5,-52.85644531,-50.44555664,-49.5300293,-49.71313477
209,-52.70385742,-50.38452148,-49.46899414,-49.71313477
209.5,-52.734375,-50.20141602,-49.43847656,-49.71313477
210,-52.67333984,-50.17089844,-49.43847656,-49.68261719
210.5,-52.64282227,-50.10986328,-49.37744141,-49.71313477
211,-52.61230469,-50.10986328,-49.34692383,-49.68261719
211.5,-52.52075195,-49.92675781,-49.28588867,-49.65209961
212,-52.52075195,-49.77416992,-49.31640625,-49.71313477
212.5,-52.42919922,-49.71313477,-49.25537109,-49.74365234
213,-52.4597168,-49.62158203,-49.16381836,-49.71313477
213.5,-52.42919922,-49.5300293,-49.22485352,-49.74365234
214,-52.30712891,-49.49951172,-49.16381836,-49.74365234
214.5,-52.30712891,-49.34692383,-49.16381836,-49.74365234
215,-52.27661133,-49.28588867,-49.13330078,-49.71313477
215.5,-52.18505859,-49.25537109,-49.13330078,-49.71313477
216,-52.21557617,-49.13330078,-49.1027832,-49.71313477
216.5,-52.12402344,-49.1027832,-49.04174805,-49.65209961
217,-52.12402344,-49.01123047,-49.04174805,-49.65209961
217.5,-52.00195313,-48.88916016,-48.95019531,-49.68261719
218,-51.94091797,-48.79760742,-48.85864258,-49.71313477
218.5,-51.87988281,-48.76708984,-48.88916016,-49.71313477
219,-51.84936523,-48.58398438,-48.79760742,-49.71313477
219.5,-51.7578125,-48.52294922,-48.828125,-49.65209961
220,-51.69677734,-48.40087891,-48.79760742,-49.65209961
220.5,-51.63574219,-48.27880859,-48.76708984,-49.65209961
221,-51.63574219,-48.21777344,-48.828125,-49.68261719
221.5,-51.60522461,-48.09570313,-48.70605469,-49.59106445
222,-51.51367188,-47.94311523,-48.64501953,-49.68261719
222.5,-51.51367188,-47.76000977,-48.64501953,-49.65209961
223,-51.39160156,-47.54638672,-48.73657227,-49.65209961
223.5,-51.33056641,-47.48535156,-48.70605469,-49.68261719
